TIME,SPEED,RPM,Intake Temp.,MAF (g/s),Engine Load,Fuel Rail Press.,AFR,Long B2 Trim,Timing Adv.,Coolant Temp.
2023-08-05 00:26:09.664383,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:09.915300,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:10.166180,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:10.417114,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:10.667969,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:10.918766,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:11.169632,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:11.420518,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:11.671368,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:11.922157,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:12.173093,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:12.423821,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:12.674742,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:12.925573,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:13.176414,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:13.427148,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:13.677984,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:13.928867,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:14.179692,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:14.430413,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:14.681299,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:14.932175,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:15.182974,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:15.433654,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:15.684492,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:15.935361,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:16.186202,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:16.437133,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:16.687991,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:16.938831,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:17.189668,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:17.440489,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:17.691314,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:17.942145,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:18.192977,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:18.443790,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:18.694648,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:18.945517,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:19.196378,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:19.447235,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:19.698099,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:19.948940,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:20.199795,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:20.450608,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:20.701485,0,0,0,0,0,0,0,0,0,0
